date,equipe_dom,score_dom,score_ext,equipe_ext,classement_dom,classement_ext
19 octobre 2017 Saison régulière,Indiana Pacers,140,131,Brooklyn Nets,#5,#3
19 octobre 2017 Saison régulière,Orlando Magic,116,109,Miami Heat,#5,#5
19 octobre 2017 Saison régulière,Washington Wizards,120,115,Philadelphia 76ers,#5,#5
19 octobre 2017 Saison régulière,Boston Celtics,100,108,Milwaukee Bucks,#2,#5
19 octobre 2017 Saison régulière,Memphis Grizzlies,103,91,New Orleans Pelicans,#5,#5
19 octobre 2017 Saison régulière,Dallas Mavericks,111,117,Atlanta Hawks,#3,#3
19 octobre 2017 Saison régulière,Utah Jazz,106,96,Denver Nuggets,#5,#3
19 octobre 2017 Saison régulière,San Antonio Spurs,107,99,Minnesota Timberwolves,#5,#5
19 octobre 2017 Saison régulière,Phoenix Suns,76,124,Portland Trail Blazers,#5,#5
19 octobre 2017 Saison régulière,Sacramento Kings,100,105,Houston Rockets,#5,#1
12 avril 2018 Saison régulière,Chicago Bulls,,,Detroit Pistons,,
12 avril 2018 Saison régulière,New Orleans Pelicans,,,San Antonio Spurs,,
12 avril 2018 Saison régulière,Cleveland Cavaliers,,,New York Knicks,,
12 avril 2018 Saison régulière,Boston Celtics,,,Brooklyn Nets,,
12 avril 2018 Saison régulière,Miami Heat,,,Toronto Raptors,,
12 avril 2018 Saison régulière,Orlando Magic,,,Washington Wizards,,
12 avril 2018 Saison régulière,Philadelphia 76ers,,,Milwaukee Bucks,,
12 avril 2018 Saison régulière,Minnesota Timberwolves,,,Denver Nuggets,,
12 avril 2018 Saison régulière,Oklahoma City Thunder,,,Memphis Grizzlies,,
12 avril 2018 Saison régulière,LA Clippers,,,LA Lakers,,
12 avril 2018 Saison régulière,Portland Trail Blazers,,,Utah Jazz,,
12 avril 2018 Saison régulière,Sacramento Kings,,,Houston Rockets,,
10 avril 2018 Saison régulière,Detroit Pistons,,,Toronto Raptors,,
10 avril 2018 Saison régulière,Miami Heat,,,Oklahoma City Thunder,,
10 avril 2018 Saison régulière,New York Knicks,,,Cleveland Cavaliers,,
10 avril 2018 Saison régulière,Brooklyn Nets,,,Chicago Bulls,,
