id,title_fa,title_en,link,logo_link,decorated_grade,location,rank,is_recommended_percent,decorated_score,reviews_count
812,هتل تماشا,Tamasha Kish hotel,https://lastsecond.ir/hotels/812-tamasha-kish,https://lastsecond.ir/site/images/placeholder/hotel.svg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""سه ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star-o orange-text""></i><i class=""fa fa-star-o orange-text""></i></div>","{'id': 372, 'slug': 'kish', 'title_fa': 'کیش', 'parent_title': 'استان هرمزگان', 'parent': {'id': 358, 'slug': 'hormozgan-province', 'title_fa': 'استان هرمزگان'}, 'hotels_count': 49}",9,100,"<div class=""hotelScore""><div class=""score"" style=""width: 76%""></div></div>",1
845,هتل مکس رویال بلک,Maxx Royal Belek hotel,https://lastsecond.ir/hotels/845-maxx-royal-belek,http://cdn.last.upload.ir/v1/hotels/16580405.jpg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""پنج ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i></div>","{'id': 448, 'slug': 'belek', 'title_fa': 'بلک', 'parent_title': 'آنتالیا', 'parent': {'id': 443, 'slug': 'antalya', 'title_fa': 'آنتالیا'}, 'hotels_count': 62}",3,100,"<div class=""hotelScore""><div class=""score"" style=""width: 98%""></div></div>",3
50,هتل کریستال تکسیم,Crystal Hotel Taksim,https://lastsecond.ir/hotels/50-crystal-hotel-taksim,http://cdn.last.upload.ir/v1/hotels/4201202.jpg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""چهار ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star-o orange-text""></i></div>","{'id': 456, 'slug': 'istanbul', 'title_fa': 'استانبول', 'parent_title': 'ترکیه', 'parent': {'id': 442, 'slug': 'turkey', 'title_fa': 'ترکیه'}, 'hotels_count': 308}",118,30,"<div class=""hotelScore""><div class=""score"" style=""width: 56%""></div></div>",27
112,ای وان پاتایا بیچ ریزورت,A-ONE Pattaya Beach Resort,https://lastsecond.ir/hotels/112-a-one-pattaya-beach-resort,http://cdn.last.upload.ir/2017/11/04/UHkbeJN4nTAdpAqIm9ZkjdiisZhBJr5HgIl99lpa.jpeg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""چهار ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star-o orange-text""></i></div>","{'id': 477, 'slug': 'pataya', 'title_fa': 'پاتایا', 'parent_title': 'تایلند', 'parent': {'id': 476, 'slug': 'thailand', 'title_fa': 'تایلند'}, 'hotels_count': 155}",12,100,"<div class=""hotelScore""><div class=""score"" style=""width: 92%""></div></div>",7
615,هتل نووتل فنیکس سیلوم,Novotel Fenix Silom hotel,https://lastsecond.ir/hotels/615-novotel-fenix-silom,http://cdn.last.upload.ir/v1/hotels/230582_120402160806304_STD.jpg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""چهار ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star-o orange-text""></i></div>","{'id': 478, 'slug': 'bangkok', 'title_fa': 'بانکوک', 'parent_title': 'تایلند', 'parent': {'id': 476, 'slug': 'thailand', 'title_fa': 'تایلند'}, 'hotels_count': 155}",11,100,"<div class=""hotelScore""><div class=""score"" style=""width: 86%""></div></div>",4
1021,هتل مرکیور پاتایا ,Mercure pattaya hotel,https://lastsecond.ir/hotels/1021-mercure-pattaya,http://cdn.last.upload.ir/v1/hotels/5038338.jpg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""چهار ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star-o orange-text""></i></div>","{'id': 477, 'slug': 'pataya', 'title_fa': 'پاتایا', 'parent_title': 'تایلند', 'parent': {'id': 476, 'slug': 'thailand', 'title_fa': 'تایلند'}, 'hotels_count': 155}",1,100,"<div class=""hotelScore""><div class=""score"" style=""width: 100%""></div></div>",1
1485,هتل رامادا پلازا,Ramada Plaza Antalya hotel,https://lastsecond.ir/hotels/1485-ramada-plaza-antalya,http://cdn.last.upload.ir/v1/hotels/12828406.jpg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""پنج ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i></div>","{'id': 444, 'slug': 'antalya-city', 'title_fa': 'شهر آنتالیا', 'parent_title': 'آنتالیا', 'parent': {'id': 443, 'slug': 'antalya', 'title_fa': 'آنتالیا'}, 'hotels_count': 26}",2,100,"<div class=""hotelScore""><div class=""score"" style=""width: 94%""></div></div>",1
599,هتل موون پیک,movenpick izmir hotel,https://lastsecond.ir/hotels/599-movenpick-izmir,http://cdn.last.upload.ir/v1/hotels/274287_13081720230014378252_STD.jpg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""پنج ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i></div>","{'id': 461, 'slug': 'izmir', 'title_fa': 'ازمیر', 'parent_title': 'استان ازمیر', 'parent': {'id': 841, 'slug': 'izmir-province', 'title_fa': 'استان ازمیر'}, 'hotels_count': 25}",6,100,"<div class=""hotelScore""><div class=""score"" style=""width: 76%""></div></div>",3
3505,هتل ایبیس استایل گوا کالانگوت,ibis Styles Goa Calangute hotel,https://lastsecond.ir/hotels/3505-ibis-styles-goa-calangute,http://cdn.last.upload.ir/v1/hotels/ibis-Styles-Goa-Calangute.jpg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""سه ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star-o orange-text""></i><i class=""fa fa-star-o orange-text""></i></div>","{'id': 639, 'slug': 'goa', 'title_fa': 'گوا', 'parent_title': 'هند', 'parent': {'id': 634, 'slug': 'india', 'title_fa': 'هند'}, 'hotels_count': 32}",4,100,"<div class=""hotelScore""><div class=""score"" style=""width: 70%""></div></div>",1
2374,هتل سیتروس پارک پاتایا ,Citrus Parc Pattaya hotel,https://lastsecond.ir/hotels/2374-citrus-parc-pattaya,https://lastsecond.ir/site/images/placeholder/hotel.svg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""چهار ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star-o orange-text""></i></div>","{'id': 477, 'slug': 'pataya', 'title_fa': 'پاتایا', 'parent_title': 'تایلند', 'parent': {'id': 476, 'slug': 'thailand', 'title_fa': 'تایلند'}, 'hotels_count': 155}",36,100,"<div class=""hotelScore""><div class=""score"" style=""width: 74%""></div></div>",1
