search_item,rare,name,promoter_name,district,project_type,url
Rampur,UPRERAPRJ12323,Vasundhara Apartment,Wordtech Infrapromoters P Ltd,Rampur,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Saharanpur,UPRERAPRJ8102,CONSTRUCTION OF 160 No. F-70 TYPE (G+3) STOREY FLA,U.P. Awas Evam Vikas Parishad,Saharanpur,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Saharanpur,UPRERAPRJ8077,Construction of 80 No. F-45 Type (G+3) Storey Flat,U.P. Awas Evam Vikas Parishad,Saharanpur,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Saharanpur,UPRERAPRJ5644,PARSVNATH CITY SAHARANPUR,PARSVNATH DEVELOPERS LIMITED,Saharanpur,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Saharanpur,UPRERAPRJ5455,PARSVNATH ELITE FLOORS,PARSVNATH DEVELOPERS LIMITED,Saharanpur,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Shahjahanpur,UPRERAPRJ8493,CITY PARK,SUN ASSOCIATES,Shahjahanpur,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Shahjahanpur,UPRERAPRJ8485,CITY PARK,SUN INFRA SERVICES PRIVATE LIMITED,Shahjahanpur,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Sitapur,UPRERAPRJ14065,Amit Puri,Amit Puri,Sitapur,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Sitapur,UPRERAPRJ14087,Sri Bhumi Developer Associates,SRI BHUMI DEVELOPER ASSOCIATES,Sitapur,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Sultanpur,UPRERAPRJ4840,(G+3) Type EWS Flats,U.P. Awas Evam Vikas Parishad,Sultanpur,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Sultanpur,UPRERAPRJ4417,(G+3) Type LIG Flats,U.P. Awas Evam Vikas Parishad,Sultanpur,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Unnao,UPRERAPRJ9442,ANAND PURAM RESIDENTIAL PLOTTING,dolphin developers ltd,Unnao,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Varanasi,UPRERAPRJ12445,_Arihant Residency_,Deepika Infradevelopers private limited,Varanasi,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Varanasi,UPRERAPRJ12336,Aakar Housing Developers,Aakar Housing Developers,Varanasi,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Varanasi,UPRERAPRJ12347,Aakar Housing Developers,Aakar Housing Developers,Varanasi,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Varanasi,UPRERAPRJ8535,Aastha Apartments ,TBS ESTATES PRIVATE LIMITED,Varanasi,Residential,http://uprera.azurewebsites.net/View_projects.aspx
